Date,^GSPC,^NDX,^DJI,^KS11,^N225,000001.SS,^HSI,^STOXX50E,^BVSP,^NSEI,GC=F,SI=F,CL=F,BZ=F,NG=F,HG=F,ZC=F,ZW=F,BTC-USD,ETH-USD,DX-Y.NYB,EURUSD=X,USDJPY=X,USDKRW=X,GBPUSD=X,CNY=X
2024-05-13,5221.419921875,18198.609375,39431.51171875,2727.2099609375,38179.4609375,3148.02099609375,19115.060546875,5078.9599609375,128155.0,22104.05078125,2336.10009765625,28.22100067138672,79.12000274658203,83.36000061035156,2.38100004196167,4.804500102996826,458.5,670.25,62901.44921875,2949.359619140625,105.22000122070312,1.077040672302246,155.8179931640625,1370.1099853515625,1.2522854804992676,7.225800037384033
2024-05-14,5246.68017578125,18322.76953125,39558.109375,2730.340087890625,38356.05859375,3145.77392578125,19073.7109375,5080.2900390625,128515.0,22217.849609375,2353.39990234375,28.485000610351562,78.0199966430664,82.37999725341797,2.3440001010894775,4.953499794006348,453.75,657.0,61552.7890625,2881.157958984375,105.01000213623047,1.079354166984558,156.23300170898438,1363.7900390625,1.2561867237091064,7.2322998046875
2024-05-15,5308.14990234375,18596.650390625,39908.0,,38385.73046875,3119.902099609375,,5100.89990234375,128028.0,22200.55078125,2388.699951171875,29.513999938964844,78.62999725341797,82.75,2.4159998893737793,4.9695000648498535,462.5,665.75,66267.4921875,3037.056640625,104.3499984741211,1.0814552307128906,156.4980010986328,1362.550048828125,1.2585265636444092,7.2322998046875
2024-05-16,5297.10009765625,18557.9609375,39869.37890625,2753.0,38920.26171875,3122.40087890625,19376.529296875,5072.4501953125,128284.0,22403.849609375,2380.0,29.665000915527344,79.2300033569336,83.2699966430664,2.494999885559082,4.892000198364258,457.0,663.25,65231.58203125,2945.131103515625,104.45999908447266,1.0889805555343628,154.28199768066406,1353.5999755859375,1.2690032720565796,7.217700004577637
2024-05-17,5303.27001953125,18546.23046875,40003.58984375,2724.6201171875,38787.37890625,3154.02587890625,19553.609375,5064.14013671875,128151.0,22466.099609375,2412.199951171875,31.047000885009766,80.05999755859375,83.9800033569336,2.625999927520752,5.057000160217285,452.5,651.25,67051.875,3094.11865234375,104.44999694824219,1.0867793560028076,155.37899780273438,1346.0400390625,1.2672007083892822,7.2170000076293945
2024-05-18,,,,,,,,,,,,,,,,,,,66940.8046875,3122.948974609375,,,,,,
2024-05-19,,,,,,,,,,,,,,,,,,,66278.3671875,3071.843017578125,,,,,,
2024-05-20,5308.1298828125,18674.189453125,39806.76953125,2742.139892578125,39069.6796875,3171.14501953125,19636.220703125,,127751.0,,2433.89990234375,32.20500183105469,79.80000305175781,83.70999908447266,2.750999927520752,5.087500095367432,460.5,688.75,71448.1953125,3663.85546875,104.56999969482422,1.0875475406646729,155.75399780273438,1353.3900146484375,1.2706480026245117,7.222700119018555
2024-05-21,5321.41015625,18713.80078125,39872.98828125,2724.179931640625,38946.9296875,3157.966064453125,19220.619140625,5046.990234375,127412.0,22529.05078125,2421.699951171875,31.868000030517578,79.26000213623047,82.87999725341797,2.6710000038146973,5.11899995803833,458.0,697.5,70136.53125,3789.312744140625,104.66000366210938,1.086082935333252,156.3699951171875,1360.1600341796875,1.2710840702056885,7.2316999435424805
2024-05-22,5307.009765625,18705.19921875,39671.0390625,2723.4599609375,38617.1015625,3158.5400390625,19195.599609375,5025.169921875,125650.0,22597.80078125,2389.199951171875,31.295000076293945,77.56999969482422,81.9000015258789,2.8420000076293945,4.867499828338623,461.25,693.0,69122.3359375,3737.2177734375,104.94000244140625,1.0855170488357544,156.25100708007812,1363.4200439453125,1.2711325883865356,7.237599849700928
2024-05-23,5267.83984375,18623.390625,39065.26171875,2721.81005859375,39103.21875,3116.386962890625,18868.7109375,5037.60009765625,124729.0,22967.650390625,2335.0,30.284000396728516,76.87000274658203,81.36000061035156,2.6570000648498535,4.816500186920166,464.0,698.0,67929.5625,3776.92724609375,105.11000061035156,1.0825204849243164,156.70399475097656,1365.81005859375,1.2721028327941895,7.240300178527832
2024-05-24,5304.72021484375,18808.349609375,39069.58984375,2687.60009765625,38646.109375,3088.87109375,18608.939453125,5035.41015625,124306.0,22957.099609375,2332.5,30.329999923706055,77.72000122070312,82.12000274658203,2.5199999809265137,4.778500080108643,464.75,697.25,68526.1015625,3726.9345703125,104.72000122070312,1.0812681913375854,156.97300720214844,1367.6199951171875,1.2694060802459717,7.241499900817871
2024-05-25,,,,,,,,,,,,,,,,,,,69265.9453125,3749.236572265625,,,,,,
2024-05-26,,,,,,,,,,,,,,,,,,,68518.09375,3825.8974609375,,,,,,
2024-05-27,,,,2722.989990234375,38900.01953125,3124.04296875,18827.349609375,5059.2001953125,124496.0,22932.44921875,,,,,,,,,69394.5546875,3892.0068359375,,1.0847634077072144,156.8699951171875,1365.7099609375,1.2736095190048218,7.241499900817871
2024-05-28,5306.0400390625,18869.439453125,38852.859375,2722.85009765625,38855.37109375,3109.572021484375,18821.16015625,5030.35009765625,123780.0,22888.150390625,2355.199951171875,31.97100067138672,79.83000183105469,84.22000122070312,2.5899999141693115,4.875500202178955,462.5,700.25,68296.21875,3840.25634765625,104.61000061035156,1.0861891508102417,156.84500122070312,1360.9300537109375,1.2772371768951416,7.241499900817871
